datetime,value
06-11-2020 08:00,0.02
06-11-2020 08:15,0.008
06-11-2020 08:30,0.025
06-11-2020 08:45,0.017
06-11-2020 09:00,0.01
06-11-2020 09:15,0.024
06-11-2020 09:30,0.016
06-11-2020 09:45,0.011
06-11-2020 10:00,0.023
06-11-2020 10:15,0.016
06-11-2020 10:30,0.01
06-11-2020 10:45,0.024
06-11-2020 11:00,0.015
06-11-2020 11:15,0.058
06-11-2020 11:30,0.028
06-11-2020 11:45,0.011
06-11-2020 12:00,0.016
06-11-2020 12:15,0.023
06-11-2020 12:30,0.01
06-11-2020 12:45,0.019
06-11-2020 13:00,0.022
06-11-2020 13:15,0.008
06-11-2020 13:30,0.02
06-11-2020 13:45,0.023
06-11-2020 14:00,0.037
06-11-2020 14:15,0.022
06-11-2020 14:30,0.042
06-11-2020 14:45,0.057
06-11-2020 15:00,0.044
06-11-2020 15:15,0.064
06-11-2020 15:30,0.037
06-11-2020 15:45,0.061
06-11-2020 16:00,0.039
06-11-2020 16:15,0.056
06-11-2020 16:30,0.101
06-11-2020 16:45,0.223
06-11-2020 17:00,0.218
